IdGenre;Name;Description
1;Comedy;Intended to be humorous or amusing by inducing laughter
2;Animation;A motion picture that is made from a series of drawings, computer graphics, or photographs of inanimate objects (such as puppets) and that simulates movement by slight progressive changes in each frame.
3;Action;Action film is a film genre in which the protagonist is thrust into a series of events that typically involve violence and physical feats.
4;Adventure;Characters often exploring places they have not been before or doing things they have not done before.
5;Drama;Involves conflicts, emotions, and the portrayal of human experiences through dialogue and action.
6;Musical;A film genre in which songs by the characters are interwoven into the narrative, sometimes accompanied by dancing
7;Romance;Focus on the relationship and romantic love between two people
8;Fantasy;Films that belong to the fantasy genre with fantastic themes, usually magic, supernatural events, mythology, folklore, or exotic fantasy worlds.
9;Mistery;A genre of film that revolves around the solution of a problem or a crime
10;Science Fiction;Uses speculative, fictional science-based depictions of phenomena that are not fully accepted by mainstream science, such as extraterrestrial lifeforms, spacecraft, robots, cyborgs, mutants...
